n,s,time_in_milliseconds
4096,128,146
4096,128,182
4096,128,142
4096,128,341
4096,128,201
4096,128,251
4096,128,209
4096,128,153
4096,128,155
4096,128,132
4096,128,144
4096,128,142
4096,128,132
4096,128,160
4096,128,200
4096,128,145
4096,128,125
4096,128,132
4096,128,124
4096,128,128
4096,128,124
4096,128,135
4096,128,129
4096,128,126
4096,128,126
4096,128,127
4096,128,134
4096,128,128
4096,128,130
4096,128,211
4096,128,149
4096,128,135
4096,128,126
4096,128,199
4096,128,188
4096,128,127
